,G,MLP,RES,SA,date
0,0.09188276792789143,0.0,NTR,-0.32006825,2017-10-14 23:00:00
1,0.0466821292796289,0.0,POS,-0.06326171071428573,2017-12-04 23:00:00
2,-0.8743737767869505,0.12333202362060547,NTR,0.43900325000000007,2017-10-15 23:00:00
3,-0.999998188371683,0.0,POS,-0.08772979999999997,2017-12-08 23:00:00
4,0.9963321871132321,0.0,NEG,-0.13079101818181818,2017-12-18 23:00:00
5,-0.7237959200875853,0.0,NTR,-0.01707011818181817,2017-09-13 23:00:00
6,-0.7124111609625982,0.0,NEG,0.08863313333333335,2018-01-25 23:00:00
7,-0.8123419647774242,0.0,POS,-0.029256094736842108,2017-12-13 23:00:00
8,0.7685078440192367,0.0,NTR,-0.143298,2018-03-11 23:00:00
9,0.059158812761803264,0.0,NTR,-0.29324669545454546,2017-08-28 23:00:00
10,-0.3347173941490007,0.0,NTR,0.3307445,2017-09-16 23:00:00
11,-0.48809724134330656,0.0,NTR,-0.2119916340909091,2017-08-01 23:00:00
12,-0.7237959200875853,0.0,NTR,-0.01707011818181817,2017-09-13 23:00:00
13,-0.29410544607207106,0.0,POS,-0.20845149375,2017-12-27 23:00:00
14,-0.9956683148529394,0.0,POS,0.0872795,2018-02-18 23:00:00
15,-0.47814030539041136,0.0,POS,-0.28053149666666655,2018-03-02 23:00:00
16,-0.5703597859282508,0.0,POS,-0.0021914566666666616,2017-11-17 23:00:00
17,-0.39443551860836157,0.0,NTR,0.17557732500000006,2017-09-24 23:00:00
18,0.4072480752936424,0.0,NTR,-0.10722848461538459,2017-11-07 23:00:00
19,0.5185771927019341,0.10560183227062225,POS,-0.95827525,2017-11-12 23:00:00
20,0.10005846693932995,0.0,NTR,-0.48812600000000006,2018-03-10 23:00:00
21,0.49113727082935266,0.0,NTR,0.011358134999999991,2017-08-14 23:00:00
22,-0.9904312916081304,1.0,NEG,-0.10746503166666668,2018-02-01 23:00:00
23,0.0871212282065062,0.0,NTR,0.089520096875,2017-09-29 23:00:00
24,-0.9707002443155806,0.0,NEG,-0.3785873666666666,2018-02-05 23:00:00
25,0.3426181986495375,0.0,NTR,-0.3123365,2017-08-13 23:00:00
26,0.9688910892983831,0.8446803092956543,NEG,0.21168675,2017-12-17 23:00:00
27,-0.9981272584769729,1.0,NEG,-0.14672813846153843,2018-01-11 23:00:00
28,0.7603077478951924,0.0,POS,-0.047052843000000004,2017-11-02 23:00:00
29,-0.04453695152878052,0.0,NEG,0.09002745833333332,2018-03-05 23:00:00
30,0.12477157967783545,0.8604899644851685,NTR,-0.15543999833333333,2017-09-21 23:00:00
31,-0.5144085405292744,0.0,NTR,-0.027045150000000018,2017-10-23 23:00:00
32,0.3639966836608049,0.299765408039093,NTR,-0.10733001923076925,2017-10-06 23:00:00
33,0.9759408678894578,0.0,NEG,0.10071802499999999,2017-12-16 23:00:00
34,0.9693373047522408,0.0,POS,-0.059745219444444456,2018-02-27 23:00:00
35,-0.18875528565335212,0.0,POS,0.0030470404999999702,2017-07-21 23:00:00
36,-0.999998188371683,0.0,POS,-0.08772979999999997,2017-12-08 23:00:00
37,-0.9980431279203467,0.8409157395362854,NEG,-0.2629780892857143,2018-01-17 23:00:00
38,0.3111234773370533,0.0,NTR,-0.07380510500000001,2017-08-10 23:00:00
39,0.7018811394002034,0.9716624617576599,POS,-0.1447065576923077,2017-11-15 23:00:00
40,-0.30907815111808595,0.5944375991821289,POS,-0.259624225,2017-11-14 23:00:00
41,0.10432808515486466,0.9431431889533997,NTR,0.10271566666666668,2017-08-03 23:00:00
42,-0.999998188371683,0.0,POS,-0.08772979999999997,2017-12-08 23:00:00
43,-0.5703597859282508,0.0,POS,-0.0021914566666666616,2017-11-17 23:00:00
44,0.5899861061974444,0.0,NTR,-0.33681763195625,2017-11-08 23:00:00
45,-0.4276131202068274,0.31382328271865845,POS,-0.3439944333333333,2017-07-15 23:00:00
46,-0.997256510987366,0.8842799663543701,NEG,-0.026353499999999974,2018-01-14 23:00:00
47,0.3105068952240469,0.0,NTR,0.12458282083333333,2017-09-07 23:00:00
48,0.9891807785325544,0.0,POS,-0.1106702,2017-12-23 23:00:00
49,-0.9585521380574903,0.08304727077484131,NEG,-0.11342461764705881,2018-01-09 23:00:00
50,-0.5826022015186707,0.0,NTR,0.03233341666666665,2017-07-25 23:00:00
51,0.3042226976803612,0.43734127283096313,POS,-0.199539315,2017-07-18 23:00:00
52,-0.4040558576142904,0.05666245520114899,NTR,-0.22135421312499995,2017-10-27 23:00:00
53,-0.4040558576142904,0.05666245520114899,NTR,-0.22135421312499995,2017-10-27 23:00:00
54,-0.7237959200875853,0.0,NTR,-0.01707011818181817,2017-09-13 23:00:00
55,-0.059096095730510494,0.0,NTR,-0.009646434375000006,2017-10-09 23:00:00
56,-0.9940029190589548,0.0,NEG,-0.18298199333333331,2017-12-19 23:00:00
57,-0.8991012206508773,0.9322090148925781,NEG,-0.39866173214285716,2018-01-29 23:00:00
58,0.5185771927019341,0.10560183227062225,POS,-0.95827525,2017-11-12 23:00:00
59,-0.21047788267974424,0.0,NTR,0.13217353666666665,2017-10-20 23:00:00
60,0.8035986663930496,0.0,NTR,-0.3077905,2017-08-05 23:00:00
61,-0.30907815111808595,0.5944375991821289,POS,-0.25962422857142853,2017-11-14 23:00:00
62,-0.7493256074299879,0.23986439406871796,NTR,-0.28550400000000004,2017-09-02 23:00:00
63,-0.012853837475823658,0.0,NTR,-0.15476975000000004,2017-10-05 23:00:00
64,0.4072480752936424,0.0,NTR,-0.10722848461538459,2017-11-07 23:00:00
